item_id	status	primary_locations	notes
C-01	FOUND	ascent/babilong_memory.py	BABILong event extraction, occurrence-indexed facts and causal state.
C-02	FOUND	ascent/babilong_memory.py	BabiFact/BabiLongRead and event-pattern schema.
C-03	FOUND	ascent/babilong_memory.py; tests/test_babilong_memory.py	Character-position chronology and deterministic unique ordering.
C-04	FOUND	experiments/audit_babilong_qwen_preflight.py; tests/test_babilong_memory.py	The score-free preflight exhaustively verifies every selected row, panel hash, row count, task balance, duplicate identity and target-blind parser answer; any mismatch raises before model scoring.
C-05	FOUND	ascent/babilong_memory.py; experiments/prepare_babilong_structured_aggregation.py	Assignment/occurrence evidence and count/inventory projections.
C-06	FOUND	ascent/ruler_aggregation_memory.py; ascent/ruler_memory.py; ascent/ruler_qa_memory.py	Common-word/frequency aggregation, NIAH and QA writers.
C-07	FOUND	experiments/prepare_noisy_composition_sum_candidate.py; experiments/run_noisy_composition_candidate.py; ascent/certified_channel.py	Latent 0..7 categorical channel and additive composition.
C-08	PARTIAL	ascent/babilong_memory.py; experiments/audit_babilong_qwen_preflight.py; experiments/run_noisy_composition_candidate.py	Writer APIs are structurally target-blind and factorial preflight checks target omission; no universal every-row target-field access assertion.
C-09	FOUND	ascent/babilong_memory.py; ascent/ruler_memory.py; ascent/ruler_aggregation_memory.py	Budgeted task/query-relevant readouts.
C-10	FOUND	ascent/babilong_memory.py	Canonical event sources, resolution and serialization.
C-11	FOUND	ascent/babilong_memory.py; experiments/run_babilong_prompt.py	Raw-event wording control.
C-12	FOUND	experiments/analyze_noisy_composition_candidate.py; tests/test_certified_channel.py; tests/test_causal_memory.py	Nested-prefix/refinement assertions for factorial channel; memory projection tests.
C-13	FOUND	configs/babilong_qwen2p5_canonical_coscale_development.json; experiments/analyze_babilong_canonical_coscale_development.py; docs/EXPERIMENT_LEDGER.md	8K interface-development/freeze record.
C-14	DISTRIBUTED	experiments/run_babilong_prompt.py; ascent/babilong_memory.py	Write/validate/select/serialize/decode exists across preparation and runner functions, not one named state-machine entry point.
C-15	MISMATCH	experiments/run_babilong_prompt.py; experiments/run_noisy_composition_candidate.py; experiments/run_ruler_aggregation_certified.py; experiments/run_ruler_niah.py; reports/C15_FAIL_CLOSED_VALIDATION_AUDIT_2026-09-20.md; reports/FORMAL_VALIDATION_RECORD_AUDIT_2026-09-20.json	All relevant current and frozen-backup runners fail closed with exceptions; no E_{s,Q}=empty Foundation-fallback implementation exists. Retained promoted files pass their recorded gates; two documented RULER CWE interruptions stopped before scoring and produced no fallback output.
C-16	FOUND	experiments/run_babilong_prompt.py	Foundation and ASCENT share model, tokenizer, decoder and scorer.
C-17	FOUND	experiments/run_babilong_prompt.py; configs/babilong_qwen2p5_canonical_coscale_16k_confirmatory.json	Greedy decoding, max_new_tokens=8, bfloat16 and pinned model validation.
C-18	FOUND	configs/babilong_qwen2p5_canonical_coscale_16k_confirmatory.json; configs/posttraining_noisy_composition_sum_numeric_candidate.json	1/2/3 BABILong slots and K=2/3/5 factorial budgets.
